quarter,leader,follower,leader_pc,follower_pc,gap_days,same_sector,same_industry,leader_direction
2021Q1,AAPL,UBER,0.87,5.55,9,True,False,up
2021Q1,AAPL,UNH,0.87,2.02,9,False,False,up
2021Q1,AAPL,V,0.87,1.0,17,False,False,up
2021Q1,AAPL,WFC,0.87,0.71,12,False,False,up
2021Q1,ABBV,ADBE,-1.11,-2.3,15,False,False,down
2021Q1,ABBV,AMD,-1.11,1.84,2,False,False,down
2021Q1,ABBV,AMZN,-1.11,-2.81,13,False,False,down
2021Q1,ABBV,AVGO,-1.11,-1.91,7,False,False,down
2021Q1,ABBV,AXP,-1.11,0.45,8,False,False,down
2021Q1,ABBV,BA,-1.11,-3.17,15,False,False,down
2021Q1,ABBV,BLK,-1.11,0.75,10,False,False,down
2021Q1,C,ABBV,-0.99,-1.11,2,False,False,down
2021Q1,ABBV,CAT,-1.11,1.68,9,False,False,down
2021Q1,COST,ABBV,5.41,-1.11,8,False,False,up
2021Q1,CRM,ABBV,-0.69,-1.11,5,False,False,down
2021Q1,ABBV,DAL,-1.11,-3.22,1,False,False,down
2021Q1,ABBV,GOOGL,-1.11,-1.45,9,False,False,down
2021Q1,ABBV,GS,-1.11,0.49,6,False,False,down
2021Q1,ABBV,HD,-1.11,-1.68,15,False,False,down
2021Q1,ABBV,INTC,-1.11,-1.53,0,False,False,down
2021Q1,ABBV,ISRG,-1.11,1.12,0,True,False,down
2021Q1,JNJ,ABBV,2.9,-1.11,1,True,False,up
2021Q1,ABBV,JPM,-1.11,0.66,9,False,False,down
2021Q1,ABBV,LLY,-1.11,-0.1,7,True,False,down
2021Q1,MA,ABBV,-2.06,-1.11,4,False,False,down
2021Q1,ABBV,META,-1.11,-0.53,4,False,False,down
2021Q1,MRK,ABBV,-3.91,-1.11,2,True,False,down
2021Q1,MS,ABBV,2.53,-1.11,6,False,False,up
2021Q1,ABBV,MSFT,-1.11,-0.25,8,False,False,down
2021Q1,NOW,ABBV,0.86,-1.11,5,False,False,up
2021Q1,ABBV,NVDA,-1.11,-2.01,4,False,False,down
2021Q1,PANW,ABBV,0.37,-1.11,2,False,False,up
2021Q1,ABBV,PEP,-1.11,-2.17,2,False,False,down
2021Q1,ABBV,PG,-1.11,3.19,0,False,False,down
2021Q1,RTX,ABBV,-4.29,-1.11,7,False,False,down
2021Q1,ABBV,TMO,-1.11,-1.87,0,True,False,down
2021Q1,ABBV,TSLA,-1.11,-0.11,11,False,False,down
2021Q1,ABBV,UAL,-1.11,-2.17,4,False,False,down
2021Q1,ABBV,UBER,-1.11,5.55,6,False,False,down
2021Q1,ABBV,UNH,-1.11,2.02,6,True,False,down
2021Q1,ABBV,V,-1.11,1.0,14,False,False,down
2021Q1,ABBV,WFC,-1.11,0.71,9,False,False,down
2021Q1,AMD,ADBE,1.84,-2.3,13,True,False,up
2021Q1,AMZN,ADBE,-2.81,-2.3,2,False,False,down
2021Q1,AVGO,ADBE,-1.91,-2.3,8,True,False,down
2021Q1,AXP,ADBE,0.45,-2.3,7,False,False,up
2021Q1,ADBE,BA,-2.3,-3.17,0,False,False,down
2021Q1,BLK,ADBE,0.75,-2.3,5,False,False,up
2021Q1,C,ADBE,-0.99,-2.3,17,False,False,down
2021Q1,CAT,ADBE,1.68,-2.3,6,False,False,up
2021Q1,COST,ADBE,5.41,-2.3,23,False,False,up
2021Q1,CRM,ADBE,-0.69,-2.3,20,True,True,down
2021Q1,DAL,ADBE,-3.22,-2.3,14,False,False,down
2021Q1,GOOGL,ADBE,-1.45,-2.3,6,True,True,down
2021Q1,GS,ADBE,0.49,-2.3,9,False,False,up
2021Q1,ADBE,HD,-2.3,-1.68,0,False,False,down
2021Q1,INTC,ADBE,-1.53,-2.3,15,True,False,down
2021Q1,ISRG,ADBE,1.12,-2.3,15,False,False,up
2021Q1,JNJ,ADBE,2.9,-2.3,16,False,False,up
2021Q1,JPM,ADBE,0.66,-2.3,6,False,False,up
2021Q1,LLY,ADBE,-0.1,-2.3,8,False,False,down
2021Q1,MA,ADBE,-2.06,-2.3,19,False,False,down
2021Q1,META,ADBE,-0.53,-2.3,11,True,True,down
2021Q1,MRK,ADBE,-3.91,-2.3,17,False,False,down
2021Q1,MS,ADBE,2.53,-2.3,21,False,False,up
2021Q1,MSFT,ADBE,-0.25,-2.3,7,True,True,down
2021Q1,NOW,ADBE,0.86,-2.3,20,True,True,up
2021Q1,NVDA,ADBE,-2.01,-2.3,11,True,False,down
2021Q1,PANW,ADBE,0.37,-2.3,17,True,True,up
2021Q1,PEP,ADBE,-2.17,-2.3,13,False,False,down
2021Q1,PG,ADBE,3.19,-2.3,15,False,False,up
2021Q1,RTX,ADBE,-4.29,-2.3,22,False,False,down
2021Q1,TMO,ADBE,-1.87,-2.3,15,False,False,down
2021Q1,TSLA,ADBE,-0.11,-2.3,4,False,False,down
2021Q1,UAL,ADBE,-2.17,-2.3,11,False,False,down
2021Q1,UBER,ADBE,5.55,-2.3,9,True,True,up
2021Q1,UNH,ADBE,2.02,-2.3,9,False,False,up
2021Q1,V,ADBE,1.0,-2.3,1,False,False,up
2021Q1,WFC,ADBE,0.71,-2.3,6,False,False,up
2021Q1,AMD,AMZN,1.84,-2.81,11,False,False,up
2021Q1,AMD,AVGO,1.84,-1.91,5,True,True,up
2021Q1,AMD,AXP,1.84,0.45,6,False,False,up
2021Q1,AMD,BA,1.84,-3.17,13,False,False,up
2021Q1,AMD,BLK,1.84,0.75,8,False,False,up
2021Q1,C,AMD,-0.99,1.84,4,False,False,down
2021Q1,AMD,CAT,1.84,1.68,7,False,False,up
2021Q1,COST,AMD,5.41,1.84,10,False,False,up
2021Q1,CRM,AMD,-0.69,1.84,7,True,False,down
2021Q1,DAL,AMD,-3.22,1.84,1,False,False,down
2021Q1,AMD,GOOGL,1.84,-1.45,7,True,False,up
2021Q1,AMD,GS,1.84,0.49,4,False,False,up
2021Q1,AMD,HD,1.84,-1.68,13,False,False,up
2021Q1,INTC,AMD,-1.53,1.84,2,True,True,down
2021Q1,ISRG,AMD,1.12,1.84,2,False,False,up
2021Q1,JNJ,AMD,2.9,1.84,3,False,False,up
2021Q1,AMD,JPM,1.84,0.66,7,False,False,up
2021Q1,AMD,LLY,1.84,-0.1,5,False,False,up
2021Q1,MA,AMD,-2.06,1.84,6,False,False,down
2021Q1,AMD,META,1.84,-0.53,2,True,False,up
2021Q1,MRK,AMD,-3.91,1.84,4,False,False,down
2021Q1,MS,AMD,2.53,1.84,8,False,False,up
2021Q1,AMD,MSFT,1.84,-0.25,6,True,False,up
2021Q1,NOW,AMD,0.86,1.84,7,True,False,up
2021Q1,AMD,NVDA,1.84,-2.01,2,True,True,up
2021Q1,PANW,AMD,0.37,1.84,4,True,False,up
2021Q1,AMD,PEP,1.84,-2.17,0,False,False,up
2021Q1,PG,AMD,3.19,1.84,2,False,False,up
2021Q1,RTX,AMD,-4.29,1.84,9,False,False,down
2021Q1,TMO,AMD,-1.87,1.84,2,False,False,down
2021Q1,AMD,TSLA,1.84,-0.11,9,False,False,up
2021Q1,AMD,UAL,1.84,-2.17,2,False,False,up
2021Q1,AMD,UBER,1.84,5.55,4,True,False,up
2021Q1,AMD,UNH,1.84,2.02,4,False,False,up
2021Q1,AMD,V,1.84,1.0,12,False,False,up
2021Q1,AMD,WFC,1.84,0.71,7,False,False,up
2021Q1,AVGO,AMZN,-1.91,-2.81,6,False,False,down
2021Q1,AXP,AMZN,0.45,-2.81,5,False,False,up
2021Q1,AMZN,BA,-2.81,-3.17,2,False,False,down
2021Q1,BLK,AMZN,0.75,-2.81,3,False,False,up
2021Q1,C,AMZN,-0.99,-2.81,15,False,False,down
2021Q1,CAT,AMZN,1.68,-2.81,4,False,False,up
2021Q1,COST,AMZN,5.41,-2.81,21,True,True,up
2021Q1,CRM,AMZN,-0.69,-2.81,18,False,False,down
2021Q1,DAL,AMZN,-3.22,-2.81,12,False,False,down
2021Q1,GOOGL,AMZN,-1.45,-2.81,4,False,False,down
2021Q1,GS,AMZN,0.49,-2.81,7,False,False,up
2021Q1,AMZN,HD,-2.81,-1.68,2,True,True,down
2021Q1,INTC,AMZN,-1.53,-2.81,13,False,False,down
2021Q1,ISRG,AMZN,1.12,-2.81,13,False,False,up
2021Q1,JNJ,AMZN,2.9,-2.81,14,False,False,up
2021Q1,JPM,AMZN,0.66,-2.81,4,False,False,up
2021Q1,LLY,AMZN,-0.1,-2.81,6,False,False,down
2021Q1,MA,AMZN,-2.06,-2.81,17,False,False,down
2021Q1,META,AMZN,-0.53,-2.81,9,False,False,down
2021Q1,MRK,AMZN,-3.91,-2.81,15,False,False,down
2021Q1,MS,AMZN,2.53,-2.81,19,False,False,up
2021Q1,MSFT,AMZN,-0.25,-2.81,5,False,False,down
2021Q1,NOW,AMZN,0.86,-2.81,18,False,False,up
2021Q1,NVDA,AMZN,-2.01,-2.81,9,False,False,down
2021Q1,PANW,AMZN,0.37,-2.81,15,False,False,up
2021Q1,PEP,AMZN,-2.17,-2.81,11,True,True,down
2021Q1,PG,AMZN,3.19,-2.81,13,True,True,up
2021Q1,RTX,AMZN,-4.29,-2.81,20,False,False,down
2021Q1,TMO,AMZN,-1.87,-2.81,13,False,False,down
2021Q1,TSLA,AMZN,-0.11,-2.81,2,True,False,down
2021Q1,UAL,AMZN,-2.17,-2.81,9,False,False,down
2021Q1,UBER,AMZN,5.55,-2.81,7,False,False,up
2021Q1,UNH,AMZN,2.02,-2.81,7,False,False,up
2021Q1,AMZN,V,-2.81,1.0,1,False,False,down
2021Q1,WFC,AMZN,0.71,-2.81,4,False,False,up
2021Q1,AVGO,AXP,-1.91,0.45,1,False,False,down
2021Q1,AVGO,BA,-1.91,-3.17,8,False,False,down
2021Q1,AVGO,BLK,-1.91,0.75,3,False,False,down
2021Q1,C,AVGO,-0.99,-1.91,9,False,False,down
2021Q1,AVGO,CAT,-1.91,1.68,2,False,False,down
2021Q1,COST,AVGO,5.41,-1.91,15,False,False,up
2021Q1,CRM,AVGO,-0.69,-1.91,12,True,False,down
2021Q1,DAL,AVGO,-3.22,-1.91,6,False,False,down
2021Q1,AVGO,GOOGL,-1.91,-1.45,2,True,False,down
2021Q1,GS,AVGO,0.49,-1.91,1,False,False,up
2021Q1,AVGO,HD,-1.91,-1.68,8,False,False,down
2021Q1,INTC,AVGO,-1.53,-1.91,7,True,True,down
2021Q1,ISRG,AVGO,1.12,-1.91,7,False,False,up
2021Q1,JNJ,AVGO,2.9,-1.91,8,False,False,up
2021Q1,AVGO,JPM,-1.91,0.66,2,False,False,down
2021Q1,AVGO,LLY,-1.91,-0.1,0,False,False,down
2021Q1,MA,AVGO,-2.06,-1.91,11,False,False,down
2021Q1,META,AVGO,-0.53,-1.91,3,True,False,down
2021Q1,MRK,AVGO,-3.91,-1.91,9,False,False,down
2021Q1,MS,AVGO,2.53,-1.91,13,False,False,up
2021Q1,AVGO,MSFT,-1.91,-0.25,1,True,False,down
2021Q1,NOW,AVGO,0.86,-1.91,12,True,False,up
2021Q1,NVDA,AVGO,-2.01,-1.91,3,True,True,down
2021Q1,PANW,AVGO,0.37,-1.91,9,True,False,up
2021Q1,PEP,AVGO,-2.17,-1.91,5,False,False,down
2021Q1,PG,AVGO,3.19,-1.91,7,False,False,up
2021Q1,RTX,AVGO,-4.29,-1.91,14,False,False,down
2021Q1,TMO,AVGO,-1.87,-1.91,7,False,False,down
2021Q1,AVGO,TSLA,-1.91,-0.11,4,False,False,down
2021Q1,UAL,AVGO,-2.17,-1.91,3,False,False,down
2021Q1,UBER,AVGO,5.55,-1.91,1,True,False,up
2021Q1,UNH,AVGO,2.02,-1.91,1,False,False,up
2021Q1,AVGO,V,-1.91,1.0,7,False,False,down
2021Q1,AVGO,WFC,-1.91,0.71,2,False,False,down
2021Q1,AXP,BA,0.45,-3.17,7,False,False,up
2021Q1,AXP,BLK,0.45,0.75,2,True,False,up
2021Q1,C,AXP,-0.99,0.45,10,True,True,down
2021Q1,AXP,CAT,0.45,1.68,1,False,False,up
2021Q1,COST,AXP,5.41,0.45,16,False,False,up
2021Q1,CRM,AXP,-0.69,0.45,13,False,False,down
2021Q1,DAL,AXP,-3.22,0.45,7,False,False,down
2021Q1,AXP,GOOGL,0.45,-1.45,1,False,False,up
2021Q1,GS,AXP,0.49,0.45,2,True,True,up
2021Q1,AXP,HD,0.45,-1.68,7,False,False,up
2021Q1,INTC,AXP,-1.53,0.45,8,False,False,down
2021Q1,ISRG,AXP,1.12,0.45,8,False,False,up
2021Q1,JNJ,AXP,2.9,0.45,9,False,False,up
2021Q1,AXP,JPM,0.45,0.66,1,True,True,up
2021Q1,LLY,AXP,-0.1,0.45,1,False,False,down
2021Q1,MA,AXP,-2.06,0.45,12,True,False,down
2021Q1,META,AXP,-0.53,0.45,4,False,False,down
2021Q1,MRK,AXP,-3.91,0.45,10,False,False,down
2021Q1,MS,AXP,2.53,0.45,14,True,True,up
2021Q1,AXP,MSFT,0.45,-0.25,0,False,False,up
2021Q1,NOW,AXP,0.86,0.45,13,False,False,up
2021Q1,NVDA,AXP,-2.01,0.45,4,False,False,down
2021Q1,PANW,AXP,0.37,0.45,10,False,False,up
2021Q1,PEP,AXP,-2.17,0.45,6,False,False,down
2021Q1,PG,AXP,3.19,0.45,8,False,False,up
2021Q1,RTX,AXP,-4.29,0.45,15,False,False,down
2021Q1,TMO,AXP,-1.87,0.45,8,False,False,down
2021Q1,AXP,TSLA,0.45,-0.11,3,False,False,up
2021Q1,UAL,AXP,-2.17,0.45,4,False,False,down
2021Q1,UBER,AXP,5.55,0.45,2,False,False,up
2021Q1,UNH,AXP,2.02,0.45,2,False,False,up
2021Q1,AXP,V,0.45,1.0,6,True,False,up
2021Q1,AXP,WFC,0.45,0.71,1,True,True,up
2021Q1,BLK,BA,0.75,-3.17,5,False,False,up
2021Q1,C,BA,-0.99,-3.17,17,False,False,down
2021Q1,CAT,BA,1.68,-3.17,6,True,False,up
2021Q1,COST,BA,5.41,-3.17,23,False,False,up
2021Q1,CRM,BA,-0.69,-3.17,20,False,False,down
2021Q1,DAL,BA,-3.22,-3.17,14,True,False,down
2021Q1,GOOGL,BA,-1.45,-3.17,6,False,False,down
2021Q1,GS,BA,0.49,-3.17,9,False,False,up
2021Q1,BA,HD,-3.17,-1.68,0,False,False,down
2021Q1,INTC,BA,-1.53,-3.17,15,False,False,down
2021Q1,ISRG,BA,1.12,-3.17,15,False,False,up
2021Q1,JNJ,BA,2.9,-3.17,16,False,False,up
2021Q1,JPM,BA,0.66,-3.17,6,False,False,up
2021Q1,LLY,BA,-0.1,-3.17,8,False,False,down
2021Q1,MA,BA,-2.06,-3.17,19,False,False,down
2021Q1,META,BA,-0.53,-3.17,11,False,False,down
2021Q1,MRK,BA,-3.91,-3.17,17,False,False,down
2021Q1,MS,BA,2.53,-3.17,21,False,False,up
2021Q1,MSFT,BA,-0.25,-3.17,7,False,False,down
2021Q1,NOW,BA,0.86,-3.17,20,False,False,up
2021Q1,NVDA,BA,-2.01,-3.17,11,False,False,down
2021Q1,PANW,BA,0.37,-3.17,17,False,False,up
2021Q1,PEP,BA,-2.17,-3.17,13,False,False,down
2021Q1,PG,BA,3.19,-3.17,15,False,False,up
2021Q1,RTX,BA,-4.29,-3.17,22,True,True,down
2021Q1,TMO,BA,-1.87,-3.17,15,False,False,down
2021Q1,TSLA,BA,-0.11,-3.17,4,False,False,down
2021Q1,UAL,BA,-2.17,-3.17,11,True,False,down
2021Q1,UBER,BA,5.55,-3.17,9,False,False,up
2021Q1,UNH,BA,2.02,-3.17,9,False,False,up
2021Q1,V,BA,1.0,-3.17,1,False,False,up
2021Q1,WFC,BA,0.71,-3.17,6,False,False,up
2021Q1,C,BLK,-0.99,0.75,12,True,False,down
2021Q1,CAT,BLK,1.68,0.75,1,False,False,up
2021Q1,COST,BLK,5.41,0.75,18,False,False,up
2021Q1,CRM,BLK,-0.69,0.75,15,False,False,down
2021Q1,DAL,BLK,-3.22,0.75,9,False,False,down
2021Q1,GOOGL,BLK,-1.45,0.75,1,False,False,down
2021Q1,GS,BLK,0.49,0.75,4,True,False,up
2021Q1,BLK,HD,0.75,-1.68,5,False,False,up
2021Q1,INTC,BLK,-1.53,0.75,10,False,False,down
2021Q1,ISRG,BLK,1.12,0.75,10,False,False,up
2021Q1,JNJ,BLK,2.9,0.75,11,False,False,up
2021Q1,JPM,BLK,0.66,0.75,1,True,False,up
2021Q1,LLY,BLK,-0.1,0.75,3,False,False,down
2021Q1,MA,BLK,-2.06,0.75,14,True,True,down
2021Q1,META,BLK,-0.53,0.75,6,False,False,down
2021Q1,MRK,BLK,-3.91,0.75,12,False,False,down
2021Q1,MS,BLK,2.53,0.75,16,True,False,up
2021Q1,MSFT,BLK,-0.25,0.75,2,False,False,down
2021Q1,NOW,BLK,0.86,0.75,15,False,False,up
2021Q1,NVDA,BLK,-2.01,0.75,6,False,False,down
2021Q1,PANW,BLK,0.37,0.75,12,False,False,up
2021Q1,PEP,BLK,-2.17,0.75,8,False,False,down
2021Q1,PG,BLK,3.19,0.75,10,False,False,up
2021Q1,RTX,BLK,-4.29,0.75,17,False,False,down
2021Q1,TMO,BLK,-1.87,0.75,10,False,False,down
2021Q1,BLK,TSLA,0.75,-0.11,1,False,False,up
2021Q1,UAL,BLK,-2.17,0.75,6,False,False,down
2021Q1,UBER,BLK,5.55,0.75,4,False,False,up
2021Q1,UNH,BLK,2.02,0.75,4,False,False,up
2021Q1,BLK,V,0.75,1.0,4,True,True,up
2021Q1,WFC,BLK,0.71,0.75,1,True,False,up
2021Q1,C,CAT,-0.99,1.68,11,False,False,down
2021Q1,COST,C,5.41,-0.99,6,False,False,up
2021Q1,CRM,C,-0.69,-0.99,3,False,False,down
2021Q1,C,DAL,-0.99,-3.22,3,False,False,down
2021Q1,C,GOOGL,-0.99,-1.45,11,False,False,down
2021Q1,C,GS,-0.99,0.49,8,True,True,down
2021Q1,C,HD,-0.99,-1.68,17,False,False,down
2021Q1,C,INTC,-0.99,-1.53,2,False,False,down
2021Q1,C,ISRG,-0.99,1.12,2,False,False,down
2021Q1,C,JNJ,-0.99,2.9,1,False,False,down
2021Q1,C,JPM,-0.99,0.66,11,True,True,down
2021Q1,C,LLY,-0.99,-0.1,9,False,False,down
2021Q1,MA,C,-2.06,-0.99,2,True,False,down
2021Q1,C,META,-0.99,-0.53,6,False,False,down
2021Q1,C,MRK,-0.99,-3.91,0,False,False,down
2021Q1,MS,C,2.53,-0.99,4,True,True,up
2021Q1,C,MSFT,-0.99,-0.25,10,False,False,down
2021Q1,NOW,C,0.86,-0.99,3,False,False,up
2021Q1,C,NVDA,-0.99,-2.01,6,False,False,down
2021Q1,C,PANW,-0.99,0.37,0,False,False,down
2021Q1,C,PEP,-0.99,-2.17,4,False,False,down
2021Q1,C,PG,-0.99,3.19,2,False,False,down
2021Q1,RTX,C,-4.29,-0.99,5,False,False,down
2021Q1,C,TMO,-0.99,-1.87,2,False,False,down
2021Q1,C,TSLA,-0.99,-0.11,13,False,False,down
2021Q1,C,UAL,-0.99,-2.17,6,False,False,down
2021Q1,C,UBER,-0.99,5.55,8,False,False,down
2021Q1,C,UNH,-0.99,2.02,8,False,False,down
2021Q1,C,V,-0.99,1.0,16,True,False,down
2021Q1,C,WFC,-0.99,0.71,11,True,True,down
2021Q1,COST,CAT,5.41,1.68,17,False,False,up
2021Q1,CRM,CAT,-0.69,1.68,14,False,False,down
2021Q1,DAL,CAT,-3.22,1.68,8,True,False,down
2021Q1,CAT,GOOGL,1.68,-1.45,0,False,False,up
2021Q1,GS,CAT,0.49,1.68,3,False,False,up
2021Q1,CAT,HD,1.68,-1.68,6,False,False,up
2021Q1,INTC,CAT,-1.53,1.68,9,False,False,down
2021Q1,ISRG,CAT,1.12,1.68,9,False,False,up
2021Q1,JNJ,CAT,2.9,1.68,10,False,False,up
2021Q1,CAT,JPM,1.68,0.66,0,False,False,up
2021Q1,LLY,CAT,-0.1,1.68,2,False,False,down
2021Q1,MA,CAT,-2.06,1.68,13,False,False,down
2021Q1,META,CAT,-0.53,1.68,5,False,False,down
2021Q1,MRK,CAT,-3.91,1.68,11,False,False,down
2021Q1,MS,CAT,2.53,1.68,15,False,False,up
2021Q1,MSFT,CAT,-0.25,1.68,1,False,False,down
2021Q1,NOW,CAT,0.86,1.68,14,False,False,up
2021Q1,NVDA,CAT,-2.01,1.68,5,False,False,down
2021Q1,PANW,CAT,0.37,1.68,11,False,False,up
2021Q1,PEP,CAT,-2.17,1.68,7,False,False,down
2021Q1,PG,CAT,3.19,1.68,9,False,False,up
2021Q1,RTX,CAT,-4.29,1.68,16,True,False,down
2021Q1,TMO,CAT,-1.87,1.68,9,False,False,down
2021Q1,CAT,TSLA,1.68,-0.11,2,False,False,up
2021Q1,UAL,CAT,-2.17,1.68,5,True,False,down
2021Q1,UBER,CAT,5.55,1.68,3,False,False,up
2021Q1,UNH,CAT,2.02,1.68,3,False,False,up
2021Q1,CAT,V,1.68,1.0,5,False,False,up
2021Q1,CAT,WFC,1.68,0.71,0,False,False,up
2021Q1,COST,CRM,5.41,-0.69,3,False,False,up
2021Q1,COST,DAL,5.41,-3.22,9,False,False,up
2021Q1,COST,GOOGL,5.41,-1.45,17,False,False,up
2021Q1,COST,GS,5.41,0.49,14,False,False,up
2021Q1,COST,HD,5.41,-1.68,23,True,True,up
2021Q1,COST,INTC,5.41,-1.53,8,False,False,up
2021Q1,COST,ISRG,5.41,1.12,8,False,False,up
2021Q1,COST,JNJ,5.41,2.9,7,False,False,up
2021Q1,COST,JPM,5.41,0.66,17,False,False,up
2021Q1,COST,LLY,5.41,-0.1,15,False,False,up
2021Q1,COST,MA,5.41,-2.06,4,False,False,up
2021Q1,COST,META,5.41,-0.53,12,False,False,up
2021Q1,COST,MRK,5.41,-3.91,6,False,False,up
2021Q1,COST,MS,5.41,2.53,2,False,False,up
2021Q1,COST,MSFT,5.41,-0.25,16,False,False,up
2021Q1,COST,NOW,5.41,0.86,3,False,False,up
2021Q1,COST,NVDA,5.41,-2.01,12,False,False,up
2021Q1,COST,PANW,5.41,0.37,6,False,False,up
2021Q1,COST,PEP,5.41,-2.17,10,True,True,up
2021Q1,COST,PG,5.41,3.19,8,True,True,up
2021Q1,COST,RTX,5.41,-4.29,1,False,False,up
2021Q1,COST,TMO,5.41,-1.87,8,False,False,up
2021Q1,COST,TSLA,5.41,-0.11,19,True,False,up
2021Q1,COST,UAL,5.41,-2.17,12,False,False,up
2021Q1,COST,UBER,5.41,5.55,14,False,False,up
2021Q1,COST,UNH,5.41,2.02,14,False,False,up
2021Q1,COST,V,5.41,1.0,22,False,False,up
2021Q1,COST,WFC,5.41,0.71,17,False,False,up
2021Q1,CRM,DAL,-0.69,-3.22,6,False,False,down
2021Q1,CRM,GOOGL,-0.69,-1.45,14,True,True,down
2021Q1,CRM,GS,-0.69,0.49,11,False,False,down
2021Q1,CRM,HD,-0.69,-1.68,20,False,False,down
2021Q1,CRM,INTC,-0.69,-1.53,5,True,False,down
2021Q1,CRM,ISRG,-0.69,1.12,5,False,False,down
2021Q1,CRM,JNJ,-0.69,2.9,4,False,False,down
2021Q1,CRM,JPM,-0.69,0.66,14,False,False,down
2021Q1,CRM,LLY,-0.69,-0.1,12,False,False,down
2021Q1,CRM,MA,-0.69,-2.06,1,False,False,down
2021Q1,CRM,META,-0.69,-0.53,9,True,True,down
2021Q1,CRM,MRK,-0.69,-3.91,3,False,False,down
2021Q1,MS,CRM,2.53,-0.69,1,False,False,up
2021Q1,CRM,MSFT,-0.69,-0.25,13,True,True,down
2021Q1,CRM,NOW,-0.69,0.86,0,True,True,down
2021Q1,CRM,NVDA,-0.69,-2.01,9,True,False,down
2021Q1,CRM,PANW,-0.69,0.37,3,True,True,down
2021Q1,CRM,PEP,-0.69,-2.17,7,False,False,down
2021Q1,CRM,PG,-0.69,3.19,5,False,False,down
2021Q1,RTX,CRM,-4.29,-0.69,2,False,False,down
2021Q1,CRM,TMO,-0.69,-1.87,5,False,False,down
2021Q1,CRM,TSLA,-0.69,-0.11,16,False,False,down
2021Q1,CRM,UAL,-0.69,-2.17,9,False,False,down
2021Q1,CRM,UBER,-0.69,5.55,11,True,True,down
2021Q1,CRM,UNH,-0.69,2.02,11,False,False,down
2021Q1,CRM,V,-0.69,1.0,19,False,False,down
2021Q1,CRM,WFC,-0.69,0.71,14,False,False,down
2021Q1,DAL,GOOGL,-3.22,-1.45,8,False,False,down
2021Q1,DAL,GS,-3.22,0.49,5,False,False,down
2021Q1,DAL,HD,-3.22,-1.68,14,False,False,down
2021Q1,INTC,DAL,-1.53,-3.22,1,False,False,down
2021Q1,ISRG,DAL,1.12,-3.22,1,False,False,up
2021Q1,JNJ,DAL,2.9,-3.22,2,False,False,up
2021Q1,DAL,JPM,-3.22,0.66,8,False,False,down
2021Q1,DAL,LLY,-3.22,-0.1,6,False,False,down
2021Q1,MA,DAL,-2.06,-3.22,5,False,False,down
2021Q1,DAL,META,-3.22,-0.53,3,False,False,down
2021Q1,MRK,DAL,-3.91,-3.22,3,False,False,down
2021Q1,MS,DAL,2.53,-3.22,7,False,False,up
2021Q1,DAL,MSFT,-3.22,-0.25,7,False,False,down
2021Q1,NOW,DAL,0.86,-3.22,6,False,False,up
2021Q1,DAL,NVDA,-3.22,-2.01,3,False,False,down
2021Q1,PANW,DAL,0.37,-3.22,3,False,False,up
2021Q1,DAL,PEP,-3.22,-2.17,1,False,False,down
